2026-08-05 00:24:03,994 | INFO     | __main__                     | Loaded Persian genre database: 203 artists
2026-08-05 00:24:04,425 | INFO     | __main__                     | Music Suggest Bot v3 starting...
2026-08-05 00:24:06,017 | INFO     | user_prefs                   | [USER_DB] init_db: tables created; PATH=user_prefs.db
2026-08-05 00:24:06,025 | INFO     | feature_cache                | Feature cache initialized
2026-08-05 00:24:06,027 | INFO     | __main__                     | Bot initialized: Last.fm=OK
2026-08-05 00:24:06,191 | INFO     | telegram.ext.Application     | Application started
2026-08-05 00:25:20,439 | INFO     | __main__                     | [STEP 1] User 240082844: Received text: Bohemian Rhapsody...
2026-08-05 00:25:21,191 | INFO     | deezer_helper                | [DEEZER] search query='Bohemian Rhapsody' limit=5
2026-08-05 00:25:22,312 | INFO     | deezer_helper                | [DEEZER] search query='Bohemian Rhapsody' -> 5 results
2026-08-05 00:25:22,313 | INFO     | __main__                     | [SEARCH] raw=5, clean-first reorder done -> 5 shown
2026-08-05 00:25:22,313 | INFO     | deezer_helper                | [DEEZER] search query='artist:Queen' limit=3
2026-08-05 00:25:22,686 | INFO     | deezer_helper                | [DEEZER] search query='artist:Queen' -> 3 results
2026-08-05 00:25:25,085 | INFO     | __main__                     | Callback received: chat_id=240082844, data=pick_original
2026-08-05 00:25:25,476 | INFO     | deezer_helper                | [DEEZER] search query='Bohemian Rhapsody' limit=10
2026-08-05 00:25:25,794 | INFO     | deezer_helper                | [DEEZER] search query='Bohemian Rhapsody' -> 10 results
2026-08-05 00:25:25,794 | INFO     | deezer_helper                | [DEEZER] get_track id=4091937401
2026-08-05 00:25:26,451 | INFO     | deezer_helper                | [DEEZER] get_track id=4091937401 -> Queen - Bohemian Rhapsody (genres=[])
2026-08-05 00:25:26,452 | INFO     | __main__                     | Fetched full track: Queen - Bohemian Rhapsody (genres: [], artist_id: 412)
2026-08-05 00:25:26,453 | INFO     | deezer_helper                | [DEEZER] search query='Queen' limit=10
2026-08-05 00:25:26,740 | INFO     | deezer_helper                | [DEEZER] search query='Queen' -> 10 results
2026-08-05 00:25:26,741 | INFO     | __main__                     | Search 'Queen': found 10 tracks, best ID=412 (count=10)
2026-08-05 00:25:26,951 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 4091937401
2026-08-05 00:25:26,954 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 4091937401
2026-08-05 00:25:26,955 | INFO     | feature_cache                | [CACHE]   Audio: BPM=143.6, Energy=0.0805
2026-08-05 00:25:26,956 | INFO     | feature_cache                | [CACHE]   MusicBrainz: 46fe768c-7b38-4147-9f02-815b9f0759e2
2026-08-05 00:25:26,956 | INFO     | feature_cache                | [CACHE]   Last.fm tags: classic rock, rock, Queen
2026-08-05 00:25:26,958 | INFO     | __main__                     | Cache hit for: Queen - Bohemian Rhapsody
2026-08-05 00:25:26,958 | INFO     | __main__                     | [FLOW] main track analyzed: audio=True acoustic=False
2026-08-05 00:25:28,780 | INFO     | lastfm_client                | Last.fm found 10 similar tracks for Queen - Bohemian Rhapsody
2026-08-05 00:25:28,780 | INFO     | __main__                     | [FLOW] Last.fm similar for Bohemian Rhapsody: 10 found
2026-08-05 00:25:28,780 | INFO     | deezer_helper                | [DEEZER] search query="Don't Stop Me Now Queen" limit=1
2026-08-05 00:25:29,094 | INFO     | deezer_helper                | [DEEZER] search query="Don't Stop Me Now Queen" -> 1 results
2026-08-05 00:25:29,095 | INFO     | deezer_helper                | [DEEZER] search query='Another One Bites the Dust Queen' limit=1
2026-08-05 00:25:29,453 | INFO     | deezer_helper                | [DEEZER] search query='Another One Bites the Dust Queen' -> 1 results
2026-08-05 00:25:29,453 | INFO     | deezer_helper                | [DEEZER] search query='Dream On Aerosmith' limit=1
2026-08-05 00:25:29,775 | INFO     | deezer_helper                | [DEEZER] search query='Dream On Aerosmith' -> 1 results
2026-08-05 00:25:29,775 | INFO     | deezer_helper                | [DEEZER] search query='Stairway to Heaven Led Zeppelin' limit=1
2026-08-05 00:25:30,088 | INFO     | deezer_helper                | [DEEZER] search query='Stairway to Heaven Led Zeppelin' -> 1 results
